Section,Key,Value
"ROLES","student","Register, apply leave, view history, QR outpass, profile"
"ROLES","boys_warden","Manage boys hostel leaves, approve/reject, view residents"
"ROLES","girls_warden","Manage girls hostel leaves, approve/reject, view residents"
"ROLES","security","Scan QR outpasses (DEPARTURE/RETURN), manual entry, in-house view"
"ROLES","admin","System dashboard, user mgmt, approve registrations, all leaves, staff mgmt"
"","",
"DB TABLE: profiles","id","UUID, PK, matches auth.users.id"
"DB TABLE: profiles","email","TEXT"
"DB TABLE: profiles","name","TEXT"
"DB TABLE: profiles","role","TEXT (student, boys_warden, girls_warden, security, admin)"
"DB TABLE: profiles","gender","TEXT"
"DB TABLE: profiles","hostel_type","TEXT (Boys/Girls)"
"DB TABLE: profiles","department","TEXT (CSE, ECE, MECH, CIVIL, EEE)"
"DB TABLE: profiles","year","TEXT (1st, 2nd, 3rd, 4th)"
"DB TABLE: profiles","room_number","TEXT"
"DB TABLE: profiles","block_name","TEXT"
"DB TABLE: profiles","phone","TEXT"
"DB TABLE: profiles","guardian_name","TEXT"
"DB TABLE: profiles","guardian_phone","TEXT"
"DB TABLE: profiles","active_status","TEXT (IN/OUT/LEAVE)"
"DB TABLE: profiles","avatar_url","TEXT (Supabase Storage URL)"
"DB TABLE: profiles","is_approved","BOOLEAN (v2 migration)"
"DB TABLE: profiles","created_at","TIMESTAMPTZ"
"","",
"DB TABLE: leaves","leave_id","TEXT PK (format: LV{timestamp}{random})"
"DB TABLE: leaves","student_id","UUID FK -> profiles.id"
"DB TABLE: leaves","type","TEXT"
"DB TABLE: leaves","reason","TEXT"
"DB TABLE: leaves","out_date","DATE"
"DB TABLE: leaves","in_date","DATE"
"DB TABLE: leaves","approval_status","TEXT (Pending/Approved/Rejected)"
"DB TABLE: leaves","approved_by","UUID FK -> profiles.id"
"DB TABLE: leaves","approved_at","TIMESTAMPTZ"
"DB TABLE: leaves","rejection_reason","TEXT"
"DB TABLE: leaves","created_at","TIMESTAMPTZ"
"","",
"DB TABLE: outpasses","pass_id","TEXT PK (format: OP{timestamp}{random})"
"DB TABLE: outpasses","leave_id","TEXT FK -> leaves.leave_id (UNIQUE)"
"DB TABLE: outpasses","student_id","UUID FK -> profiles.id"
"DB TABLE: outpasses","qr_data","TEXT (DORMFLOW|passId|studentId|leaveId|outDate|inDate)"
"DB TABLE: outpasses","out_time","TIMESTAMPTZ"
"DB TABLE: outpasses","in_time","TIMESTAMPTZ"
"DB TABLE: outpasses","status","TEXT (Active -> Used -> Completed)"
"DB TABLE: outpasses","scanned_out_by","UUID"
"DB TABLE: outpasses","scanned_in_by","UUID"
"DB TABLE: outpasses","created_at","TIMESTAMPTZ"
"","",
"SQL FILES","supabase_setup.sql","Original RLS policies + auto-profile trigger"
"SQL FILES","dormflow_migration_v2.sql","is_approved column, app_metadata RLS, storage policies, indexes"
"SQL FILES","create_test_users.sql","Sample accounts (admin, wardens, security, student)"
"SQL FILES","reset_all_passwords.sql","Bulk password reset to Test@1234"
"","",
"SECURITY FIXES","RLS user_metadata -> app_metadata","Migrated to prevent user role tampering"
"SECURITY FIXES","Profiles SELECT limited","Admin sees all; users see own; staff see limited fields"
"SECURITY FIXES","admin.createUser() removed","Replaced with registration-only path"
"SECURITY FIXES","XSS prevention","escapeHtml() helper applied throughout"
"SECURITY FIXES","Duplicate outpass prevention","UNIQUE(leave_id) constraint + pre-check"
"SECURITY FIXES","QR payload validation","Full stored payload vs scanned comparison"
"SECURITY FIXES","CAMERA permission","Added to AndroidManifest.xml"
"SECURITY FIXES","CDN dependencies removed","All bundled locally via npm + Vite"
"SECURITY FIXES","Avatar storage policies","User-level folder isolation in avatars bucket"
"SECURITY FIXES","Admin approval gate","is_approved flag blocks login until approved"
"","",
"BUILD COMMANDS","Install","npm install"
"BUILD COMMANDS","Development","npm run dev"
"BUILD COMMANDS","Build web","npm run build"
"BUILD COMMANDS","Sync Android","npx cap sync android"
"BUILD COMMANDS","Build APK","cd android && ./gradlew assembleDebug"
"","",
"SAMPLE CREDENTIALS","Admin","admin@ucea.edu.in / Test@1234"
"SAMPLE CREDENTIALS","Boys Warden","boyswarden@ucea.edu.in / Test@1234"
"SAMPLE CREDENTIALS","Girls Warden","girlswarden@ucea.edu.in / Test@1234"
"SAMPLE CREDENTIALS","Gate Security","security@ucea.edu.in / Test@1234"
"SAMPLE CREDENTIALS","Student (demo reg)","312221104001 (or 312221104001@ucea.edu.in) / Test@1234"
